Name,FQDN,Class,Is Virtual,Location,IP Address,Sub-Environment,Operational Status,Status (install_status),Operating System,OS Version,PCI Designation
10.124.23.164,10.124.23.164,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.164,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.165,10.124.23.165,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.165,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.166,10.124.23.166,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.166,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.167,10.124.23.167,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.167,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.168,10.124.23.168,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.168,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.23.169,10.124.23.169,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.23.169,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.124.96.90,10.124.96.90,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.96.90,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.96.92,10.124.96.92,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.96.92,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.96.96,10.124.96.96,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.96.96,PROD,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24117913,
10.124.96.98,10.124.96.98,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.124.96.98,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.17.236.253,10.17.236.253,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.236.253,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.236.254,10.17.236.254,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.236.254,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.236.255,10.17.236.255,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.236.255,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.0,10.17.237.0,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.0,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.84,10.17.237.84,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.84,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.85,10.17.237.85,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.85,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.86,10.17.237.86,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.86,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.87,10.17.237.87,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.87,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.88,10.17.237.88,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.88,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.89,10.17.237.89,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.89,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.90,10.17.237.90,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.90,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.91,10.17.237.91,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.91,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.92,10.17.237.92,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.92,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.93,10.17.237.93,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.93,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.94,10.17.237.94,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.94,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.95,10.17.237.95,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.95,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.96,10.17.237.96,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.96,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.97,10.17.237.97,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.97,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.98,10.17.237.98,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.98,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.237.99,10.17.237.99,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.17.237.99,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.17.240.21,10.17.240.21,ESX Server,FALSE,Cumberland-2100 Highland Corp,10.17.240.21,,Non-Operational,Retired,ESX,VMware ESXi 6.7.0 build-19195723,
10.17.240.22,10.17.240.22,ESX Server,FALSE,Cumberland-2100 Highland Corp,10.17.240.22,,Non-Operational,Retired,ESX,,
10.17.240.23,10.17.240.23,ESX Server,FALSE,Cumberland-2100 Highland Corp,10.17.240.23,,Retired,Retired,ESX,VMware ESXi 6.5.0 build-19092475,
10.214.102.47,10.214.102.47,ESX Server,TRUE,,10.214.102.47,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.147,10.214.103.147,ESX Server,TRUE,,10.214.103.147,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.148,10.214.103.148,ESX Server,TRUE,,10.214.103.148,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.149,10.214.103.149,ESX Server,TRUE,,10.214.103.149,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.150,10.214.103.150,ESX Server,TRUE,,10.214.103.150,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.151,10.214.103.151,ESX Server,TRUE,,10.214.103.151,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.152,10.214.103.152,ESX Server,TRUE,,10.214.103.152,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.153,10.214.103.153,ESX Server,TRUE,,10.214.103.153,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.154,10.214.103.154,ESX Server,TRUE,,10.214.103.154,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.156,10.214.103.156,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.214.103.156,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.157,10.214.103.157,ESX Server,TRUE,Scottsdale-9501 East Shea Blvd,10.214.103.157,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.219,10.214.103.219,ESX Server,TRUE,,10.214.103.219,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.242,10.214.103.242,ESX Server,TRUE,,10.214.103.242,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.214.103.254,10.214.103.254,ESX Server,TRUE,,10.214.103.254,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.220.102.107,10.220.102.107,ESX Server,TRUE,,10.220.102.107,DEV,Operational,Installed,ESX,VMware ESXi 8.0.3 build-24416880,
10.220.102.108,10.220.102.108,ESX Server,TRUE,,10.220.102.108,DEV,Operational,Installed,ESX,VMware ESXi 8.0.3 build-24416880,
10.220.102.109,10.220.102.109,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.220.102.109,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.220.102.110,10.220.102.110,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.220.102.110,,Non-Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.220.102.112,10.220.102.112,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.220.102.112,,Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.220.102.113,10.220.102.113,ESX Server,TRUE,Cumberland-2100 Highland Corp,10.220.102.113,,Operational,Retired,ESX,VMware ESXi 7.0.3 build-24117913,
10.220.102.114,10.220.102.114,ESX Server,TRUE,,10.220.102.114,DEV,Operational,Installed,ESX,VMware ESXi 8.0.3 build-24416880,
10.220.102.115,10.220.102.115,ESX Server,TRUE,,10.220.102.115,DEV,Operational,Installed,ESX,VMware ESXi 8.0.3 build-24416880,
10.220.103.81,10.220.103.81,ESX Server,TRUE,,10.220.103.81,DEV,Operational,Installed,ESX,VMware ESXi 8.0.3 build-24416880,
10.220.103.82,10.220.103.82,ESX Server,TRUE,,10.220.103.82,DEV,Operational,Installed,ESX,VMware ESXi 8.0.3 build-24416880,
10.220.103.83,10.220.103.83,ESX Server,TRUE,,10.220.103.83,DEV,Operational,Installed,ESX,VMware ESXi 8.0.3 build-24416880,
10.220.103.84,10.220.103.84,ESX Server,TRUE,,10.220.103.84,DEV,Operational,Installed,ESX,VMware ESXi 8.0.3 build-24416880,
10.228.113.228,10.228.113.228,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.113.228,,Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.113.229,10.228.113.229,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.113.229,,Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.113.230,10.228.113.230,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.113.230,,Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.113.238,10.228.113.238,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.113.238,,Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.113.239,10.228.113.239,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.113.239,,Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.113.240,10.228.113.240,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.113.240,,Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.114.225,10.228.114.225,ESX Server,TRUE,,10.228.114.225,DEV,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24416880,
10.228.114.225,10.228.114.225,ESX Server,TRUE,,10.228.114.225,,Operational,Retired,ESX,VMware ESXi 7.0.3 build-22751820,
10.228.114.225,10.228.114.225,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.114.225,,Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.114.226,10.228.114.226,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.114.226,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.114.227,10.228.114.227,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.114.227,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.114.235,10.228.114.235,ESX Server,TRUE,,10.228.114.235,DEV,Operational,Installed,ESX,VMware ESXi 8.0.2 build-24416880,
10.228.114.235,10.228.114.235,ESX Server,TRUE,,10.228.114.235,,Operational,Retired,ESX,VMware ESXi 7.0.3 build-22751820,
10.228.114.235,10.228.114.235,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.114.235,,Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
10.228.114.236,10.228.114.236,ESX Server,TRUE,Woonsocket-1 CVS Drive,10.228.114.236,,Non-Operational,Retired,ESX,VMware ESXi 8.0.2 build-24117913,
