apm_id,application_acronym,enterprise_heritage,application_name,application_environment,competitively_sensitive,risk_tier,fqdn,server_designation,server_site,ip_address
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,pdcpsecgarcap01.aeth.aetna.com,Not PCI related,Phoenix-4025 E. Cotton Center,10.103.1.43
APM0005989,Genetec,AETNA,Genetec Security Center,PROD,No,Medium Risk,pdcpsecgarcap01.aeth.aetna.com,Not PCI related,Phoenix-4025 E. Cotton Center,10.103.1.43
APM0004254,CVSCOMDM,CVS,CVS.COM (Desktop and Mobile),PT,No,High Risk,rri2atgdnl2pb.cvs.com,Not PCI related,Woonsocket-1 CVS Drive,10.78.136.91
APM0004254,CVSCOMDM,CVS,CVS.COM (Desktop and Mobile),PT,No,High Risk,rri2atgdnl1pa.cvs.com,Not PCI related,Woonsocket-1 CVS Drive,10.78.136.108
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,winp-electron11.aeth.aetna.com,Not PCI related,Windsor-570 Pigeon Hill Data Ctr,167.69.201.4
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,winp-electron21.aeth.aetna.com,PCI Connected,Windsor-570 Pigeon Hill Data Ctr,167.69.201.20
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,midp-photon24.aeth.aetna.com,PCI Connected,Middletown-Middle St Data Center,167.69.200.23
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,winp-electron23.aeth.aetna.com,PCI Connected,Windsor-570 Pigeon Hill Data Ctr,167.69.201.22
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,winp-electron24.aeth.aetna.com,PCI Connected,Windsor-570 Pigeon Hill Data Ctr,167.69.201.23
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,midp-photon22.aeth.aetna.com,PCI Connected,Middletown-Middle St Data Center,167.69.200.21
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,midp-photon23.aeth.aetna.com,PCI Connected,Middletown-Middle St Data Center,167.69.200.22
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,midp-photon21.aeth.aetna.com,PCI Connected,Middletown-Middle St Data Center,167.69.200.20
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,winp-electron22.aeth.aetna.com,PCI Connected,Windsor-570 Pigeon Hill Data Ctr,167.69.201.21
APM0010439,DNA,AETNA,Quiver,PROD,No,Low Risk,midp-photon11.aeth.aetna.com,Not PCI related,,167.69.200.4
APM0013984,zsc,CVS,Zscaler,Production,No,High Risk,eaw2zscapl11v.corp.cvscaremark.com,PCI Security Tool,us-east-2-AWS,10.174.162.214
APM0013984,zsc,CVS,Zscaler,Development,No,High Risk,eaw1zscadl10v.corp.cvscaremark.com,Not PCI related,us-east-1-AWS,10.174.36.92
APM0013984,zsc,CVS,Zscaler,PROD,No,High Risk,eaw1zscapl12v.corp.cvscaremark.com,Not PCI related,,10.174.32.171
APM0013984,zsc,CVS,Zscaler,Production,No,High Risk,eaw1zscapl11v.corp.cvscaremark.com,PCI Security Tool,us-east-2-AWS,10.174.32.183
APM0013984,zsc,CVS,Zscaler,Development,No,High Risk,eaw1zscadl11v.corp.cvscaremark.com,Not PCI related,us-east-1-AWS,10.174.32.200
APM0013984,zsc,CVS,Zscaler,PROD,No,High Risk,eaw2zscapl12v.corp.cvscaremark.com,Not PCI related,,10.174.163.17
APM0013984,zsc,CVS,Zscaler,PROD,No,High Risk,eaw1zscapl13v.corp.cvscaremark.com,Not PCI related,,10.174.36.167
APM0013984,zsc,CVS,Zscaler,Production,No,High Risk,eaw2zscapl10v.corp.cvscaremark.com,PCI Security Tool,us-east-2-AWS,10.174.163.24
APM0013984,zsc,CVS,Zscaler,Production,No,High Risk,eaw1zscapl10v.corp.cvscaremark.com,PCI Security Tool,us-east-1-AWS,10.174.36.208
APM0013984,zsc,CVS,Zscaler,PROD,No,High Risk,eaw2zscapl13v.corp.cvscaremark.com,Not PCI related,,10.174.162.251
APM0013398,PBMDWDeploymentServices,CVS,PBM DW Deployment Services,PROD,No,Low Risk,paz1dtsapl10p.corp.cvscaremark.com,Not PCI related,Scottsdale-9501 East Shea Blvd,10.217.189.231
APM0014654,RXCLAIMOSFLAR,CVS,RXCLAIM OUTPUTS TRANSITION FILL LETTER AND REPORTS,PROD,No,Medium Risk,adm-rxcprdpa.caremarkrx.net,Not PCI related,,172.17.0.4
APM0014654,RXCLAIMOSFLAR,CVS,RXCLAIM OUTPUTS TRANSITION FILL LETTER AND REPORTS,Non-prod,No,Medium Risk,adm-rxcadsxb.caremarkrx.net,Not PCI related,Scottsdale-9501 East Shea Blvd,10.119.150.42
APM0014654,RXCLAIMOSFLAR,CVS,RXCLAIM OUTPUTS TRANSITION FILL LETTER AND REPORTS,Non-prod,No,Medium Risk,adm-rxcadsxa.caremarkrx.net,Not PCI related,Scottsdale-9501 East Shea Blvd,10.119.150.34
APM0014654,RXCLAIMOSFLAR,CVS,RXCLAIM OUTPUTS TRANSITION FILL LETTER AND REPORTS,PROD,No,Medium Risk,adm-rxcprdpb.caremarkrx.net,Not PCI related,,172.17.0.4
APM0014655,RXCLAIMPHARMACYNETWORKS,CVS,RXCLAIM PHARMACY NETWORKS,PROD,No,Low Risk,adm-rxcprdpa.caremarkrx.net,Not PCI related,,172.17.0.4
APM0014655,RXCLAIMPHARMACYNETWORKS,CVS,RXCLAIM PHARMACY NETWORKS,Non-prod,No,Low Risk,adm-rxcadsxa.caremarkrx.net,Not PCI related,Scottsdale-9501 East Shea Blvd,10.119.150.34
APM0014655,RXCLAIMPHARMACYNETWORKS,CVS,RXCLAIM PHARMACY NETWORKS,PROD,No,Low Risk,adm-rxcprdpb.caremarkrx.net,Not PCI related,,172.17.0.4
APM0014655,RXCLAIMPHARMACYNETWORKS,CVS,RXCLAIM PHARMACY NETWORKS,Non-prod,No,Low Risk,adm-rxcadsxb.caremarkrx.net,Not PCI related,Scottsdale-9501 East Shea Blvd,10.119.150.42
APM0014652,RXCLAIMPRESCRIBERPBRDATA,CVS,RXCLAIM PRESCRIBER (PBR) DATA,PROD,No,Low Risk,adm-rxcprdpa.caremarkrx.net,Not PCI related,,172.17.0.4
APM0014652,RXCLAIMPRESCRIBERPBRDATA,CVS,RXCLAIM PRESCRIBER (PBR) DATA,Non-prod,No,Low Risk,adm-rxcadsxa.caremarkrx.net,Not PCI related,Scottsdale-9501 East Shea Blvd,10.119.150.34
APM0014652,RXCLAIMPRESCRIBERPBRDATA,CVS,RXCLAIM PRESCRIBER (PBR) DATA,Non-prod,No,Low Risk,adm-rxcadsxb.caremarkrx.net,Not PCI related,Scottsdale-9501 East Shea Blvd,10.119.150.42
APM0014652,RXCLAIMPRESCRIBERPBRDATA,CVS,RXCLAIM PRESCRIBER (PBR) DATA,PROD,No,Low Risk,adm-rxcprdpb.caremarkrx.net,Not PCI related,,172.17.0.4
APM0014650,RXCLAIMSBOBO,CVS,RXCLAIM SHARED BUSINESS OBJECTS (SBO),PROD,No,High Risk,adm-rxcprdpa.caremarkrx.net,Not PCI related,,172.17.0.4
APM0014650,RXCLAIMSBOBO,CVS,RXCLAIM SHARED BUSINESS OBJECTS (SBO),PROD,No,High Risk,adm-rxcprdpb.caremarkrx.net,Not PCI related,,172.17.0.4
APM0014650,RXCLAIMSBOBO,CVS,RXCLAIM SHARED BUSINESS OBJECTS (SBO),Non-prod,No,High Risk,adm-rxcadsxa.caremarkrx.net,Not PCI related,Scottsdale-9501 East Shea Blvd,10.119.150.34
APM0014650,RXCLAIMSBOBO,CVS,RXCLAIM SHARED BUSINESS OBJECTS (SBO),Non-prod,No,High Risk,adm-rxcadsxb.caremarkrx.net,Not PCI related,Scottsdale-9501 East Shea Blvd,10.119.150.42
APM0006783,IIBTS,AETNA,IIB Test Service,dev,No,Low Risk,pgc1iibadl10v.corp.cvscaremark.com,Not PCI Related,,10.157.31.171
APM0006783,IIBTS,AETNA,IIB Test Service,dev,No,Low Risk,pgc1iibadl11v.corp.cvscaremark.com,Not PCI Related,,10.157.31.168
APM0006783,IIBTS,AETNA,IIB Test Service,dr,No,Low Risk,rgc1iibarl10v.corp.cvscaremark.com,Not PCI Related,,10.157.31.166
APM0006783,IIBTS,AETNA,IIB Test Service,stg,No,Low Risk,rgc1iibadl12v.corp.cvscaremark.com,Not PCI Related,,10.117.87.176
APM0005672,FastStart,CVS,FastStart,PROD,No,Medium Risk,prdudb4a.caremarkrx.net,PCI,Scottsdale-9501 East Shea Blvd,10.93.134.213
APM0005672,FastStart,CVS,FastStart,PROD,No,Medium Risk,prdudb4a.caremarkrx.net,PCI,Scottsdale-9501 East Shea Blvd,10.93.134.213
APM0003191,CVSCATS,CVS,CATS,PROD,No,Low Risk,prdora1a.caremarkrx.net,,Scottsdale-9501 East Shea Blvd,204.99.33.46
APM0003191,CVSCATS,CVS,CATS,PROD,No,Low Risk,prdora1a.caremarkrx.net,,Scottsdale-9501 East Shea Blvd,204.99.33.46
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PT,Yes,High Risk,paz1nlxdnw1p.coe.caremarkrx.net,Not PCI related,Work At Home-Illinois,10.9.62.234
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw12p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.243
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw11p.corp.cvscaremark.com,Not PCI related,Work At Home-Minnesota,10.217.240.242
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
APM0009041,Novologix,CVS,NOVOLOGIX AUTHORIZATION - CLAIMS PLATFORM,PROD,Yes,High Risk,paz1nlxdpw13p.corp.cvscaremark.com,Not PCI related,Work At Home-Illinois,10.217.240.45
